goods_details,goods_evaluation,goods_specifications_price,goods_title,goods_url
"功效:保湿、显色、易上色
妆效:滋润
色系:橘色系、粉色系、裸色/豆沙色、红色系
","116条评论,好评率99.1%","￥69.0 - 04 冰糖葫芦
￥69.0 - 01 山楂奶茶冻
￥69.0 - 03 日式豆沙酥
￥69.0 - 02 草莓雪冰
",琉璃橘光水润镜面唇釉,http://you.163.com/item/detail?id=3834002
"型号变更说明:因产品型号命名规则变更，旧型号WP-670EC变更为GT3-12，WP-672EC变更为GT3-22。变更期间您可能随机收到新旧型号。如有疑问，请咨询客服。
适用季节:不限季节
适用场景:口腔护理
电压:100-240V
水压范围:10-100PSI 
水箱容量:600ml
保修服务:主机保修3年；耗材不在保修范围内（如喷头）。
温馨提醒:1. 口腔护理用品，因涉及卫生健康，不适用七天无理由退货。如商品有质量问题的，可联系客服办理退换货。
2. 购买口腔护理产品请当场验收，若商品包装有破损，商品有缺少配件等问题，请当即与客服人员联系。
3. 消费者使用前请阅读《使用说明书产品说明书》冲牙器、电动牙刷，配件等属于个人口腔清理用品，如果拆开里面的密封配件，非质量问题无法办理退换货。 
注：自带的喷头都是消毒后密封包装的，收到货以后无需消毒。
4. 洁碧官方售后服务热线：400-931-8556
5. 如有质量问题，一个月内可免费换新。
赠品说明:购买冲牙器将赠送德国汉高牙膏一支。退换货时需将赠品一起寄回。 
品牌属性:网易严选推荐选品，本产品为洁碧品牌，由洁碧有限公司生产制造。
","1016条评论,好评率99.4%","￥1399.0 - 白色家用型：GT3-12
￥1399.0 - 黑色家用型：WP-672EC
￥79.0 - 牙菌斑喷头（2支装）
￥79.0 - 正畸喷头（2支装）
￥79.0 - 标准喷头（2支装）
",美国设计 电动冲牙器水牙线 家用型,http://you.163.com/item/detail?id=3477024
"适用人群:通用
功能:吹卷造型、可折叠、防静电、养发功能
适用场景:家用、专业沙龙
适用发质:任何发质
适用发量:适中、少、多
纳米水离子:千万级纳米水离子
电机规格:日本Mabuchi电机
额定功率:2000W
风速档位:2档
出风模式:热风、恒温、冷风、冷热
控温方式:智能NTC控温
风嘴配件:造型风嘴、扩散风嘴
安全保护:NTC、温控器、热熔短体
电源线长:1.8m
产品重量:约710g（含线）
约600克（不含线）
","54条评论,好评率","￥499.0 - 珍珠粉
￥499.0 - 磨砂黑
",一款能补水的吹风机，纳米水离子吹风机,http://you.163.com/item/detail?id=3477008
"适用人群:通用
适用季节:不限季节
保质期:3年
适用肤质:混合皮、敏感肌、油皮、干皮、任何肤质
贮存条件:常温，置于阴凉干燥处保存。
品牌属性:网易严选推荐选品，本产品为西班牙玛蒂德肤品牌，由玛蒂德肤生产制造。
温馨提醒:1. 仅供外用。
2. 避免儿童抓拿。
3. 避免触及眼睛和粘膜。
4. 最初使用时，使用后可能会出现轻微的皮肤发红。如果皮肤刺激现象持续，请停止使用并咨询皮肤科专家。
5. 国家药监局提示您：请正确认识化妆品功效，化妆品不能替代药品，不能治疗皮肤病等疾病 
6. 产品一经开封，除质量问题外不予退换货。
7. 28天为测试效果，具体使用表现受肌肤和季节影响，根据不同肤质和皮肤状态有所差异。
","9028条评论,好评率99.6%","￥319.0 - 光润焕颜精华：2ml*10支/盒
￥469.0 - 平衡焕颜精华：2ml*30支/盒
￥189.0 - 平衡焕颜精华：2ml*10支/盒
",平衡水油熬夜急救 高浓度修复安瓶精华,http://you.163.com/item/detail?id=3510086
"分类:化妆棉
适用范围:便携
包装:单包装
","24298条评论,好评率99.9%","￥18.9 - 2包装省水化妆棉
￥19.9 - 插袋式化妆棉
￥9.9 - 省水化妆棉
￥37.9 - 2包装插袋式化妆棉
",80片装 插袋式压边化妆棉/省水化妆棉,http://you.163.com/item/detail?id=3459050
"容量:2L以上
种类:净水壶、镁离子净化
适用场景:居家办公
商品材料:壶盖：ABS
壶身：SAN
滤芯：PP+活性炭+树脂
商品规格:净水壶*1+滤芯*1
温馨提示:* 建议4周更换一次滤芯 * 1、单颗滤芯可过滤120升水，建议4周之内更换，也请结合实际用水量决定是否提前更换滤芯。 2、当发现壶盖注水口下方合片回弹变慢后，可转过盖子，用手来回按压合片若干次，即可恢复使用。
说明书:请参考本页面*价格条*下方的【备注】栏链接。
关于TDS:1、TDS（Total Dissolved Solids)，指溶解性固体重量，主要反映水中钙、镁、钠、钾等导电离子含量和其他固体，基本只适用于测试纯水或纯水机好坏，并不适用于其他种类的净水设备。
2、网易严选镁离子净水壶，采用欧洲发明专利技术，净水之余能保留水中有益矿物质，同时会置换镁离子于水中改进口感，让饮水更健康。
3、TDS检测不适用于镁离子净水壶/滤芯。
","24540条评论,好评率98.9%","￥339.0 - 【季度版-白色】1壶5芯（适用3~5个月）
￥488.0 - 【半年版-白色】1壶9芯（适用6~9个月）
￥189.0 - 【尝鲜版-白色】1壶1芯 - 适用1个月（拨盘款与数显款随机发放）
",让全家人喝上甜甜的水 黑科技镁离子净水壶,http://you.163.com/item/detail?id=1146000
"适用部位:全身
主要原料:100%原生木浆
尺寸:161*210mm 三层 110抽/包
注意事项:在成人监护下使用；请存放于干燥阴凉处，避免高温；请防止受潮，异物进入；不得与有毒有害物质一同存放。
","3728条评论,好评率99.8%","￥45.0 - 常规码（161mm*210mm）*110抽*12包
￥24.0 - 常规码（161mm*210mm）*110抽*6包
￥89.0 - 常规码（161mm*210mm）*110抽*24包
",6件装 湿水不易破，婴儿超厚纸巾 110抽/包,http://you.163.com/item/detail?id=3986805
"功效:滋润、控油、柔顺、蓬松
适用人群:通用
垃圾分类提示:可回收物：纸盒，塑料瓶（具体分类请以当地主管部门相关规定为准）
适用发质:任何发质
净含量:300-400ml
注意事项:洗发水护发素属个人卫生用品，一经拆封，无质量问题不予退换
","93635条评论,好评率99.7%","￥59.9 - 升级款洗发水390ml+升级款护发素390ml
￥59.9 - 升级款洗发水390ml*2
￥32.9 - 升级款洗发水390ml
￥32.9 - 升级款护发素390ml
",发丝自带高级香 清润茶语洗发水护发素,http://you.163.com/item/detail?id=1356002
"品牌属性:网易严选自营品牌，由科丝美诗（中国）化妆品有限公司生产制造
适用人群:通用
保质期:3年
适用肤质:任何肤质
垃圾分类提示:可回收物：塑料瓶、塑料盖、纸盒、塑料膜（具体分类请以当地主管部门相关规定为准）
","44848条评论,好评率99.8%","￥129.0 - 200ml 玻璃瓶装
",整瓶酵母精华 活颜润肌水 200ml,http://you.163.com/item/detail?id=1506015
"包装:囤货装
适用季节:不限季节
产地:韩国
保质期:3年
分类:化妆棉
适用范围:便携、家用
规格:60片/盒
温馨提示:1. 请勿用于肌肤保养或化妆以外的其他用途
2. 开封后，请随时盖紧盒盖，以避免沾染灰尘
3. 请置于干燥卫生处储存
4. 本品为可燃性产品，请勿放置在明火和易燃处
5. 使用后若有过敏反应，请立即停止使用并遵医嘱
发货提示:包装迭代更新中，新包装与老包装将随机发货。商品详情页包装仅供参考，请以实物为准。
","12710条评论,好评率99.8%","￥89.0 - 六盒装：60片/盒*6盒
",【囤货装】 韩国1/2型省水省乳化妆棉,http://you.163.com/item/detail?id=3452005
